method,method_label,direction,seed,run_name,error_type,rank_within_type,score,target_far,selected_threshold,empirical_far,tar_at_far,is_error_at_threshold,probe_index,gallery_index,same_class,split_file,scores_path,probe_path,probe_dataset,probe_session,probe_hand,probe_subject_id,probe_palm_id,probe_class_id,probe_sample_id,gallery_path,gallery_dataset,gallery_session,gallery_hand,gallery_subject_id,gallery_palm_id,gallery_class_id,gallery_sample_id
B1,ResNet18 + CE + SupCon,S1->S2,42,b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42,false_accept_top_score,11,0.6931207776069641,0.001,0.5512232184410095,0.001,0.5988333333333333,True,325,630,False,data/splits/tongji_subject_disjoint_s1_to_s2_seed42.json,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42/scores.csv,data/segmented/Tongji/session2/01256.bmp,Tongji,session2,none,126,Tongji_00126,585,Tongji_session2_none_01256,data/segmented/Tongji/session1/02931.bmp,Tongji,session1,none,294,Tongji_00294,753,Tongji_session1_none_02931
B1,ResNet18 + CE + SupCon,S1->S2,42,b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42,false_accept_top_score,12,0.6927847862243652,0.001,0.5512232184410095,0.001,0.5988333333333333,True,233,245,False,data/splits/tongji_subject_disjoint_s1_to_s2_seed42.json,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42/scores.csv,data/segmented/Tongji/session2/00894.bmp,Tongji,session2,none,90,Tongji_00090,549,Tongji_session2_none_00894,data/segmented/Tongji/session1/00916.bmp,Tongji,session1,none,92,Tongji_00092,551,Tongji_session1_none_00916
B1,ResNet18 + CE + SupCon,S1->S2,42,b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42,false_accept_top_score,13,0.6915643811225891,0.001,0.5512232184410095,0.001,0.5988333333333333,True,994,918,False,data/splits/tongji_subject_disjoint_s1_to_s2_seed42.json,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42/scores.csv,data/segmented/Tongji/session2/04425.bmp,Tongji,session2,none,443,Tongji_00443,902,Tongji_session2_none_04425,data/segmented/Tongji/session1/04089.bmp,Tongji,session1,none,409,Tongji_00409,868,Tongji_session1_none_04089
B1,ResNet18 + CE + SupCon,S1->S2,42,b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42,false_accept_top_score,14,0.6879921555519104,0.001,0.5512232184410095,0.001,0.5988333333333333,True,325,633,False,data/splits/tongji_subject_disjoint_s1_to_s2_seed42.json,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42/scores.csv,data/segmented/Tongji/session2/01256.bmp,Tongji,session2,none,126,Tongji_00126,585,Tongji_session2_none_01256,data/segmented/Tongji/session1/02934.bmp,Tongji,session1,none,294,Tongji_00294,753,Tongji_session1_none_02934
B1,ResNet18 + CE + SupCon,S1->S2,42,b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42,false_accept_top_score,15,0.6864175200462341,0.001,0.5512232184410095,0.001,0.5988333333333333,True,658,547,False,data/splits/tongji_subject_disjoint_s1_to_s2_seed42.json,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42/scores.csv,data/segmented/Tongji/session2/02969.bmp,Tongji,session2,none,297,Tongji_00297,756,Tongji_session2_none_02969,data/segmented/Tongji/session1/02488.bmp,Tongji,session1,none,249,Tongji_00249,708,Tongji_session1_none_02488
B1,ResNet18 + CE + SupCon,S1->S2,42,b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42,false_accept_top_score,16,0.6848908066749573,0.001,0.5512232184410095,0.001,0.5988333333333333,True,709,35,False,data/splits/tongji_subject_disjoint_s1_to_s2_seed42.json,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42/scores.csv,data/segmented/Tongji/session2/03090.bmp,Tongji,session2,none,309,Tongji_00309,768,Tongji_session2_none_03090,data/segmented/Tongji/session1/00166.bmp,Tongji,session1,none,17,Tongji_00017,476,Tongji_session1_none_00166
B1,ResNet18 + CE + SupCon,S1->S2,42,b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42,false_accept_top_score,17,0.684613049030304,0.001,0.5512232184410095,0.001,0.5988333333333333,True,616,650,False,data/splits/tongji_subject_disjoint_s1_to_s2_seed42.json,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42/scores.csv,data/segmented/Tongji/session2/02827.bmp,Tongji,session2,none,283,Tongji_00283,742,Tongji_session2_none_02827,data/segmented/Tongji/session1/02961.bmp,Tongji,session1,none,297,Tongji_00297,756,Tongji_session1_none_02961
B1,ResNet18 + CE + SupCon,S1->S2,42,b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42,false_accept_top_score,18,0.6845849752426147,0.001,0.5512232184410095,0.001,0.5988333333333333,True,651,547,False,data/splits/tongji_subject_disjoint_s1_to_s2_seed42.json,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42/scores.csv,data/segmented/Tongji/session2/02962.bmp,Tongji,session2,none,297,Tongji_00297,756,Tongji_session2_none_02962,data/segmented/Tongji/session1/02488.bmp,Tongji,session1,none,249,Tongji_00249,708,Tongji_session1_none_02488
B1,ResNet18 + CE + SupCon,S1->S2,42,b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42,false_accept_top_score,19,0.6828805208206177,0.001,0.5512232184410095,0.001,0.5988333333333333,True,700,35,False,data/splits/tongji_subject_disjoint_s1_to_s2_seed42.json,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42/scores.csv,data/segmented/Tongji/session2/03081.bmp,Tongji,session2,none,309,Tongji_00309,768,Tongji_session2_none_03081,data/segmented/Tongji/session1/00166.bmp,Tongji,session1,none,17,Tongji_00017,476,Tongji_session1_none_00166
B1,ResNet18 + CE + SupCon,S1->S2,42,b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42,false_accept_top_score,20,0.6818700432777405,0.001,0.5512232184410095,0.001,0.5988333333333333,True,709,38,False,data/splits/tongji_subject_disjoint_s1_to_s2_seed42.json,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42/scores.csv,data/segmented/Tongji/session2/03090.bmp,Tongji,session2,none,309,Tongji_00309,768,Tongji_session2_none_03090,data/segmented/Tongji/session1/00169.bmp,Tongji,session1,none,17,Tongji_00017,476,Tongji_session1_none_00169
B1,ResNet18 + CE + SupCon,S1->S2,42,b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42,false_reject_low_score,1,-0.0873893424868583,0.001,0.5512232184410095,0.001,0.5988333333333333,True,816,814,True,data/splits/tongji_subject_disjoint_s1_to_s2_seed42.json,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42/scores.csv,data/segmented/Tongji/session2/03517.bmp,Tongji,session2,none,352,Tongji_00352,811,Tongji_session2_none_03517,data/segmented/Tongji/session1/03515.bmp,Tongji,session1,none,352,Tongji_00352,811,Tongji_session1_none_03515
B1,ResNet18 + CE + SupCon,S1->S2,42,b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42,false_reject_low_score,2,-0.0522327981889247,0.001,0.5512232184410095,0.001,0.5988333333333333,True,1069,1063,True,data/splits/tongji_subject_disjoint_s1_to_s2_seed42.json,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42/scores.csv,data/segmented/Tongji/session2/04890.bmp,Tongji,session2,none,489,Tongji_00489,948,Tongji_session2_none_04890,data/segmented/Tongji/session1/04884.bmp,Tongji,session1,none,489,Tongji_00489,948,Tongji_session1_none_04884
B1,ResNet18 + CE + SupCon,S1->S2,42,b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42,false_reject_low_score,3,-0.0444066524505615,0.001,0.5512232184410095,0.001,0.5988333333333333,True,818,813,True,data/splits/tongji_subject_disjoint_s1_to_s2_seed42.json,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42/scores.csv,data/segmented/Tongji/session2/03519.bmp,Tongji,session2,none,352,Tongji_00352,811,Tongji_session2_none_03519,data/segmented/Tongji/session1/03514.bmp,Tongji,session1,none,352,Tongji_00352,811,Tongji_session1_none_03514
B1,ResNet18 + CE + SupCon,S1->S2,42,b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42,false_reject_low_score,4,-0.0290764085948467,0.001,0.5512232184410095,0.001,0.5988333333333333,True,819,813,True,data/splits/tongji_subject_disjoint_s1_to_s2_seed42.json,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42/scores.csv,data/segmented/Tongji/session2/03520.bmp,Tongji,session2,none,352,Tongji_00352,811,Tongji_session2_none_03520,data/segmented/Tongji/session1/03514.bmp,Tongji,session1,none,352,Tongji_00352,811,Tongji_session1_none_03514
B1,ResNet18 + CE + SupCon,S1->S2,42,b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42,false_reject_low_score,5,-0.0179421585053205,0.001,0.5512232184410095,0.001,0.5988333333333333,True,811,813,True,data/splits/tongji_subject_disjoint_s1_to_s2_seed42.json,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42/scores.csv,data/segmented/Tongji/session2/03512.bmp,Tongji,session2,none,352,Tongji_00352,811,Tongji_session2_none_03512,data/segmented/Tongji/session1/03514.bmp,Tongji,session1,none,352,Tongji_00352,811,Tongji_session1_none_03514
B1,ResNet18 + CE + SupCon,S1->S2,42,b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42,false_reject_low_score,6,-0.0109803359955549,0.001,0.5512232184410095,0.001,0.5988333333333333,True,1069,1060,True,data/splits/tongji_subject_disjoint_s1_to_s2_seed42.json,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42/scores.csv,data/segmented/Tongji/session2/04890.bmp,Tongji,session2,none,489,Tongji_00489,948,Tongji_session2_none_04890,data/segmented/Tongji/session1/04881.bmp,Tongji,session1,none,489,Tongji_00489,948,Tongji_session1_none_04881
B1,ResNet18 + CE + SupCon,S1->S2,42,b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42,false_reject_low_score,7,-0.0090211322531104,0.001,0.5512232184410095,0.001,0.5988333333333333,True,817,814,True,data/splits/tongji_subject_disjoint_s1_to_s2_seed42.json,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42/scores.csv,data/segmented/Tongji/session2/03518.bmp,Tongji,session2,none,352,Tongji_00352,811,Tongji_session2_none_03518,data/segmented/Tongji/session1/03515.bmp,Tongji,session1,none,352,Tongji_00352,811,Tongji_session1_none_03515
B1,ResNet18 + CE + SupCon,S1->S2,42,b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42,false_reject_low_score,8,-0.0074595687910914,0.001,0.5512232184410095,0.001,0.5988333333333333,True,1068,1063,True,data/splits/tongji_subject_disjoint_s1_to_s2_seed42.json,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42/scores.csv,data/segmented/Tongji/session2/04889.bmp,Tongji,session2,none,489,Tongji_00489,948,Tongji_session2_none_04889,data/segmented/Tongji/session1/04884.bmp,Tongji,session1,none,489,Tongji_00489,948,Tongji_session1_none_04884
B1,ResNet18 + CE + SupCon,S1->S2,42,b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42,false_reject_low_score,9,-0.0069417539052665,0.001,0.5512232184410095,0.001,0.5988333333333333,True,142,141,True,data/splits/tongji_subject_disjoint_s1_to_s2_seed42.json,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42/scores.csv,data/segmented/Tongji/session2/00553.bmp,Tongji,session2,none,56,Tongji_00056,515,Tongji_session2_none_00553,data/segmented/Tongji/session1/00552.bmp,Tongji,session1,none,56,Tongji_00056,515,Tongji_session1_none_00552
B1,ResNet18 + CE + SupCon,S1->S2,42,b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42,false_reject_low_score,10,-0.0016703067813068,0.001,0.5512232184410095,0.001,0.5988333333333333,True,1062,1063,True,data/splits/tongji_subject_disjoint_s1_to_s2_seed42.json,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42/scores.csv,data/segmented/Tongji/session2/04883.bmp,Tongji,session2,none,489,Tongji_00489,948,Tongji_session2_none_04883,data/segmented/Tongji/session1/04884.bmp,Tongji,session1,none,489,Tongji_00489,948,Tongji_session1_none_04884
B1,ResNet18 + CE + SupCon,S1->S2,42,b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42,false_reject_low_score,11,0.0046982895582914,0.001,0.5512232184410095,0.001,0.5988333333333333,True,1068,1060,True,data/splits/tongji_subject_disjoint_s1_to_s2_seed42.json,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42/scores.csv,data/segmented/Tongji/session2/04889.bmp,Tongji,session2,none,489,Tongji_00489,948,Tongji_session2_none_04889,data/segmented/Tongji/session1/04881.bmp,Tongji,session1,none,489,Tongji_00489,948,Tongji_session1_none_04881
B1,ResNet18 + CE + SupCon,S1->S2,42,b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42,false_reject_low_score,12,0.014784563332796,0.001,0.5512232184410095,0.001,0.5988333333333333,True,816,815,True,data/splits/tongji_subject_disjoint_s1_to_s2_seed42.json,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42/scores.csv,data/segmented/Tongji/session2/03517.bmp,Tongji,session2,none,352,Tongji_00352,811,Tongji_session2_none_03517,data/segmented/Tongji/session1/03516.bmp,Tongji,session1,none,352,Tongji_00352,811,Tongji_session1_none_03516
B1,ResNet18 + CE + SupCon,S1->S2,42,b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42,false_reject_low_score,13,0.0157142933458089,0.001,0.5512232184410095,0.001,0.5988333333333333,True,816,813,True,data/splits/tongji_subject_disjoint_s1_to_s2_seed42.json,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42/scores.csv,data/segmented/Tongji/session2/03517.bmp,Tongji,session2,none,352,Tongji_00352,811,Tongji_session2_none_03517,data/segmented/Tongji/session1/03514.bmp,Tongji,session1,none,352,Tongji_00352,811,Tongji_session1_none_03514
B1,ResNet18 + CE + SupCon,S1->S2,42,b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42,false_reject_low_score,14,0.0248532425612211,0.001,0.5512232184410095,0.001,0.5988333333333333,True,960,964,True,data/splits/tongji_subject_disjoint_s1_to_s2_seed42.json,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42/scores.csv,data/segmented/Tongji/session2/04341.bmp,Tongji,session2,none,435,Tongji_00435,894,Tongji_session2_none_04341,data/segmented/Tongji/session1/04345.bmp,Tongji,session1,none,435,Tongji_00435,894,Tongji_session1_none_04345
B1,ResNet18 + CE + SupCon,S1->S2,42,b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42,false_reject_low_score,15,0.0275202430784702,0.001,0.5512232184410095,0.001,0.5988333333333333,True,962,964,True,data/splits/tongji_subject_disjoint_s1_to_s2_seed42.json,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42/scores.csv,data/segmented/Tongji/session2/04343.bmp,Tongji,session2,none,435,Tongji_00435,894,Tongji_session2_none_04343,data/segmented/Tongji/session1/04345.bmp,Tongji,session1,none,435,Tongji_00435,894,Tongji_session1_none_04345
B1,ResNet18 + CE + SupCon,S1->S2,42,b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42,false_reject_low_score,16,0.028494669124484,0.001,0.5512232184410095,0.001,0.5988333333333333,True,961,964,True,data/splits/tongji_subject_disjoint_s1_to_s2_seed42.json,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42/scores.csv,data/segmented/Tongji/session2/04342.bmp,Tongji,session2,none,435,Tongji_00435,894,Tongji_session2_none_04342,data/segmented/Tongji/session1/04345.bmp,Tongji,session1,none,435,Tongji_00435,894,Tongji_session1_none_04345
B1,ResNet18 + CE + SupCon,S1->S2,42,b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42,false_reject_low_score,17,0.0300067719072103,0.001,0.5512232184410095,0.001,0.5988333333333333,True,969,964,True,data/splits/tongji_subject_disjoint_s1_to_s2_seed42.json,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42/scores.csv,data/segmented/Tongji/session2/04350.bmp,Tongji,session2,none,435,Tongji_00435,894,Tongji_session2_none_04350,data/segmented/Tongji/session1/04345.bmp,Tongji,session1,none,435,Tongji_00435,894,Tongji_session1_none_04345
B1,ResNet18 + CE + SupCon,S1->S2,42,b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42,false_reject_low_score,18,0.0427636504173278,0.001,0.5512232184410095,0.001,0.5988333333333333,True,1062,1060,True,data/splits/tongji_subject_disjoint_s1_to_s2_seed42.json,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42/scores.csv,data/segmented/Tongji/session2/04883.bmp,Tongji,session2,none,489,Tongji_00489,948,Tongji_session2_none_04883,data/segmented/Tongji/session1/04881.bmp,Tongji,session1,none,489,Tongji_00489,948,Tongji_session1_none_04881
B1,ResNet18 + CE + SupCon,S1->S2,42,b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42,false_reject_low_score,19,0.0428463704884052,0.001,0.5512232184410095,0.001,0.5988333333333333,True,815,811,True,data/splits/tongji_subject_disjoint_s1_to_s2_seed42.json,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42/scores.csv,data/segmented/Tongji/session2/03516.bmp,Tongji,session2,none,352,Tongji_00352,811,Tongji_session2_none_03516,data/segmented/Tongji/session1/03512.bmp,Tongji,session1,none,352,Tongji_00352,811,Tongji_session1_none_03512
B1,ResNet18 + CE + SupCon,S1->S2,42,b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42,false_reject_low_score,20,0.0483515635132789,0.001,0.5512232184410095,0.001,0.5988333333333333,True,817,813,True,data/splits/tongji_subject_disjoint_s1_to_s2_seed42.json,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42/scores.csv,data/segmented/Tongji/session2/03518.bmp,Tongji,session2,none,352,Tongji_00352,811,Tongji_session2_none_03518,data/segmented/Tongji/session1/03514.bmp,Tongji,session1,none,352,Tongji_00352,811,Tongji_session1_none_03514
B1,ResNet18 + CE + SupCon,S1->S2,42,b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42,rank1_misidentification,1,0.7269106507301331,0.001,0.5512232184410095,0.001,0.5988333333333333,NA,60,50,False,data/splits/tongji_subject_disjoint_s1_to_s2_seed42.json,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42/scores.csv,data/segmented/Tongji/session2/00211.bmp,Tongji,session2,none,22,Tongji_00022,481,Tongji_session2_none_00211,data/segmented/Tongji/session1/00191.bmp,Tongji,session1,none,20,Tongji_00020,479,Tongji_session1_none_00191
B1,ResNet18 + CE + SupCon,S1->S2,42,b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42,rank1_misidentification,2,0.7000228762626648,0.001,0.5512232184410095,0.001,0.5988333333333333,NA,612,650,False,data/splits/tongji_subject_disjoint_s1_to_s2_seed42.json,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42/scores.csv,data/segmented/Tongji/session2/02823.bmp,Tongji,session2,none,283,Tongji_00283,742,Tongji_session2_none_02823,data/segmented/Tongji/session1/02961.bmp,Tongji,session1,none,297,Tongji_00297,756,Tongji_session1_none_02961
B1,ResNet18 + CE + SupCon,S1->S2,42,b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42,rank1_misidentification,3,0.6948546767234802,0.001,0.5512232184410095,0.001,0.5988333333333333,NA,617,650,False,data/splits/tongji_subject_disjoint_s1_to_s2_seed42.json,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42/scores.csv,data/segmented/Tongji/session2/02828.bmp,Tongji,session2,none,283,Tongji_00283,742,Tongji_session2_none_02828,data/segmented/Tongji/session1/02961.bmp,Tongji,session1,none,297,Tongji_00297,756,Tongji_session1_none_02961
B1,ResNet18 + CE + SupCon,S1->S2,42,b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42,rank1_misidentification,4,0.6939818263053894,0.001,0.5512232184410095,0.001,0.5988333333333333,NA,611,650,False,data/splits/tongji_subject_disjoint_s1_to_s2_seed42.json,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42/scores.csv,data/segmented/Tongji/session2/02822.bmp,Tongji,session2,none,283,Tongji_00283,742,Tongji_session2_none_02822,data/segmented/Tongji/session1/02961.bmp,Tongji,session1,none,297,Tongji_00297,756,Tongji_session1_none_02961
