corrupt,width,height,mean,std,near_black_pct,near_white_pct,blur_score,path,dataset
False,128,128,80.62091064453125,6.96379280090332,0.0,0.0,7.186192512512207,data/segmented/Tongji/session1/00440.bmp,Tongji
False,128,128,85.26458740234375,8.4282865524292,0.0,0.0,6.4495649337768555,data/segmented/Tongji/session1/00473.bmp,Tongji
False,128,128,88.9532470703125,7.356132984161377,0.0,0.0,6.359041690826416,data/segmented/Tongji/session1/00474.bmp,Tongji
False,128,128,86.583740234375,7.986320495605469,0.0,0.0,7.006025314331055,data/segmented/Tongji/session1/00479.bmp,Tongji
False,128,128,95.296630859375,6.196432590484619,0.0,0.0,6.446861267089844,data/segmented/Tongji/session1/01273.bmp,Tongji
False,128,128,80.65802001953125,9.068373680114746,0.0,0.0,7.175535202026367,data/segmented/Tongji/session1/01514.bmp,Tongji
False,128,128,74.503173828125,8.873540878295898,0.0,0.0,6.746417999267578,data/segmented/Tongji/session1/01516.bmp,Tongji
False,128,128,76.7608642578125,8.635343551635742,0.0,0.0,7.109728813171387,data/segmented/Tongji/session1/01538.bmp,Tongji
False,128,128,98.4422607421875,9.353612899780273,0.0,0.0,6.931079864501953,data/segmented/Tongji/session1/01878.bmp,Tongji
False,128,128,92.8525390625,8.428958892822266,0.0,0.0,7.1136860847473145,data/segmented/Tongji/session1/02154.bmp,Tongji
False,128,128,90.8865966796875,9.394586563110352,0.0,0.0,6.583263397216797,data/segmented/Tongji/session1/02155.bmp,Tongji
False,128,128,80.80499267578125,9.530526161193848,0.0,0.0,4.219386577606201,data/segmented/Tongji/session1/02199.bmp,Tongji
False,128,128,127.0001220703125,14.906311988830566,0.0,0.0,6.3299736976623535,data/segmented/Tongji/session1/02619.bmp,Tongji
False,128,128,77.97198486328125,7.848386287689209,0.0,0.0,6.487871170043945,data/segmented/Tongji/session1/03563.bmp,Tongji
False,128,128,76.39251708984375,8.013091087341309,0.0,0.0,6.917230606079102,data/segmented/Tongji/session1/03565.bmp,Tongji
False,128,128,67.71575927734375,8.64101791381836,0.0,0.0,5.125426769256592,data/segmented/Tongji/session1/03566.bmp,Tongji
False,128,128,71.8988037109375,7.0634260177612305,0.0,0.0,5.383724212646484,data/segmented/Tongji/session1/03567.bmp,Tongji
False,128,128,80.04937744140625,7.890273571014404,0.0,0.0,6.391749382019043,data/segmented/Tongji/session1/03568.bmp,Tongji
False,128,128,83.5006103515625,9.902700424194336,0.0,0.0,6.261869430541992,data/segmented/Tongji/session1/04231.bmp,Tongji
False,128,128,82.244384765625,9.760553359985352,0.0,0.0,6.3000264167785645,data/segmented/Tongji/session1/04232.bmp,Tongji
False,128,128,85.49853515625,9.799908638000488,0.0,0.0,6.962606906890869,data/segmented/Tongji/session1/04239.bmp,Tongji
False,128,128,85.6148681640625,9.842955589294434,0.0,0.0,7.169977188110352,data/segmented/Tongji/session1/04240.bmp,Tongji
False,128,128,70.14111328125,9.002826690673828,0.0,0.0,6.799799919128418,data/segmented/Tongji/session1/04624.bmp,Tongji
False,128,128,71.28662109375,9.533087730407715,0.0,0.0,7.088315963745117,data/segmented/Tongji/session1/04637.bmp,Tongji
False,128,128,69.26885986328125,7.6158318519592285,0.0,0.0,6.100946426391602,data/segmented/Tongji/session1/04638.bmp,Tongji
False,128,128,68.2890625,7.394038677215576,0.0,0.0,6.238949775695801,data/segmented/Tongji/session1/04639.bmp,Tongji
False,128,128,101.33880615234375,10.23748779296875,0.0,0.0,6.739438056945801,data/segmented/Tongji/session1/04738.bmp,Tongji
False,128,128,107.88824462890625,12.3177490234375,0.0,0.0,6.877058029174805,data/segmented/Tongji/session1/04911.bmp,Tongji
False,128,128,87.50762939453125,11.41544246673584,0.0,0.0,6.480956077575684,data/segmented/Tongji/session1/05026.bmp,Tongji
False,128,128,77.539306640625,11.517412185668945,0.0,0.0,5.420642852783203,data/segmented/Tongji/session1/05027.bmp,Tongji
False,128,128,88.85137939453125,11.584525108337402,0.0,0.0,6.662991046905518,data/segmented/Tongji/session1/05132.bmp,Tongji
False,128,128,95.06439208984375,11.494641304016113,0.0,0.0,5.963866710662842,data/segmented/Tongji/session1/05136.bmp,Tongji
False,128,128,94.3292236328125,11.404351234436035,0.0,0.0,6.795347213745117,data/segmented/Tongji/session1/05137.bmp,Tongji
False,128,128,94.716552734375,11.426019668579102,0.0,0.0,6.838557243347168,data/segmented/Tongji/session1/05138.bmp,Tongji
False,128,128,88.1998291015625,14.188677787780762,0.0,0.0,6.92378044128418,data/segmented/Tongji/session1/05139.bmp,Tongji
False,128,128,87.90771484375,11.931671142578125,0.0,0.0,6.454219818115234,data/segmented/Tongji/session1/05140.bmp,Tongji
False,128,128,99.06744384765625,11.404244422912598,0.0,0.0,6.747134685516357,data/segmented/Tongji/session1/05525.bmp,Tongji
False,128,128,83.7813720703125,7.742770195007324,0.0,0.0,5.218477249145508,data/segmented/Tongji/session1/05532.bmp,Tongji
False,128,128,83.8963623046875,8.561466217041016,0.0,0.0,6.835904121398926,data/segmented/Tongji/session1/05533.bmp,Tongji
False,128,128,83.82623291015625,9.78072738647461,0.0,0.0,6.609231948852539,data/segmented/Tongji/session1/05535.bmp,Tongji
False,128,128,88.544189453125,10.031925201416016,0.0,0.0,6.642490386962891,data/segmented/Tongji/session1/05537.bmp,Tongji
False,128,128,95.11944580078125,9.317215919494629,0.0,0.0,7.229183197021484,data/segmented/Tongji/session1/05539.bmp,Tongji
False,128,128,84.8734130859375,8.06486701965332,0.0,0.0,5.45149040222168,data/segmented/Tongji/session1/05540.bmp,Tongji
False,128,128,83.31427001953125,8.462227821350098,0.0,0.0,7.097200393676758,data/segmented/Tongji/session1/05568.bmp,Tongji
False,128,128,99.342041015625,8.68651294708252,0.0,0.0,5.128286361694336,data/segmented/Tongji/session1/05878.bmp,Tongji
False,128,128,97.71661376953125,10.332412719726562,0.0,0.0,7.194852828979492,data/segmented/Tongji/session2/00601.bmp,Tongji
False,128,128,102.1817626953125,12.657732009887695,0.0,0.0,6.574892997741699,data/segmented/Tongji/session2/01632.bmp,Tongji
False,128,128,70.5174560546875,11.709619522094727,0.0,0.0,6.873680114746094,data/segmented/Tongji/session2/02487.bmp,Tongji
False,128,128,85.127197265625,12.801321029663086,0.0,0.0,6.500771522521973,data/segmented/Tongji/session2/02595.bmp,Tongji
False,128,128,94.570068359375,13.869397163391113,0.0,0.0,6.727528095245361,data/segmented/Tongji/session2/02596.bmp,Tongji
False,128,128,103.85809326171875,16.669527053833008,0.0,0.0,5.57609748840332,data/segmented/Tongji/session2/02599.bmp,Tongji
False,128,128,79.53521728515625,9.532293319702148,0.0,0.0,4.968563079833984,data/segmented/Tongji/session2/03565.bmp,Tongji
False,128,128,120.1273193359375,13.166295051574707,0.0,0.0,5.921639442443848,data/segmented/Tongji/session2/04149.bmp,Tongji
False,128,128,90.79388427734375,9.877796173095703,0.0,0.0,6.022974967956543,data/segmented/Tongji/session2/04206.bmp,Tongji
False,128,128,80.9578857421875,12.224235534667969,0.0,0.0,6.167912483215332,data/segmented/Tongji/session2/05271.bmp,Tongji
False,128,128,78.46417236328125,11.024106979370117,0.0,0.0,7.236572265625,data/segmented/Tongji/session2/05321.bmp,Tongji
False,128,128,77.7713623046875,11.14632511138916,0.0,0.0,7.110584735870361,data/segmented/Tongji/session2/05322.bmp,Tongji
